01_business_startup-20160830-01 | 賈伯斯傳（軟精裝版） | 華特．艾薩克森
01_business_startup-20160830-02 | 平台革命：席捲全球社交、購物、遊戲、媒體的商業模式創新 | 陳威如、余卓軒
01_business_startup-20160830-03 | 獲利世代：自己動手，畫出你的商業模式 | 亞歷山大．奧斯瓦爾德等
01_business_startup-20160830-04 | 創業維艱:如何完成比難更難的事 | (美)本·霍洛維茨
01_business_startup-20160830-05 | 第二曲線：英國管理大師韓第的 16個思索，預見社會與個人新出路 | 查爾斯‧韓第
02_psychology_growth-20160830-01 | 給予：華頓商學院最啟發人心的一堂課 | 亞當‧格蘭特
02_psychology_growth-20160830-02 | 蔡康永的說話之道 | 蔡康永
02_psychology_growth-20160830-03 | 輕鬆駕馭意志力：史丹佛大學最受歡迎的心理素質課 | 凱莉．麥高尼格
02_psychology_growth-20160830-04 | 決斷2秒間：擷取關鍵資訊，發揮不假思索的力量（典藏紀念版） | 麥爾坎．葛拉威爾
02_psychology_growth-20160830-05 | 異數：超凡與平凡的界線在哪裡？〔典藏紀念版〕 | 麥爾坎．葛拉威爾
03_natural_science-20160830-01 | 大設計 | 史蒂芬．霍金、雷納．曼羅迪諾
03_natural_science-20160830-02 | 隱藏的現實：平行宇宙是什麼 | 格林
03_natural_science-20160830-03 | 數學女孩：費馬最後定理 | 結城浩
03_natural_science-20160830-04 | 萬物簡史I | 比爾．布萊森
03_natural_science-20160830-05 | 萬物簡史II | 比爾．布萊森
04_healthcare-20160830-01 | 最好的告別：善終，讓彼此只有愛，沒有遺憾 | 馮以量
04_healthcare-20160830-02 | 無病時代： 終結盲目醫療、無效保健，拒絕在病痛中後悔！ | 大衛．阿格斯醫學博士
04_healthcare-20160830-03 | 運動改造大腦：IQ和EQ大進步的關鍵 | 約翰．瑞提醫師、艾瑞克．海格曼
04_healthcare-20160830-04 | 癌症傳-眾病之王 | 穆克吉
04_healthcare-20160830-05 | 大腦當家：靈活用腦12守則，學習工作更上層樓 | John Medina
01_business_startup-20160830-06 | Google必修的圖表簡報術（修訂版）：Google總監首度公開絕活，教你做對圖表、說對話，所有人都聽你的！ | 柯爾．諾瑟鮑姆．娜菲克
01_business_startup-20160830-07 | 跟TED學表達，讓世界記住你：用更有說服力的方式行銷你和你的構想 | 卡曼．蓋洛
